name,aqi,lon,lat
自贡,83.0,104.6667,29.2786
淄博,111.0,118.0371,36.6064
珠海,37.0,113.7305,22.1155
镇江,84.0,119.4763,31.9702
郑州,126.0,113.4668,34.6234
章丘,84.0,117.538,36.6831
枣庄,110.0,117.323,34.8926
宜兴,71.0,119.8306,31.344
义乌,70.0,120.0789,29.3123
营口,84.0,122.4316,40.4297
银川,86.0,106.3586,38.1775
宜昌,76.0,111.1707,30.7617
盐城,77.0,120.2234,33.5577
徐州,95.0,117.5208,34.3268
西宁,80.0,101.4038,36.8207
邢台,106.0,114.8071,37.2821
咸阳,75.0,108.4131,34.8706
厦门,48.0,118.1689,24.6478
无锡,79.0,120.3442,31.5527
乌鲁木齐,86.0,87.9236,43.5883
延安,81.0,109.1052,36.4252
吴江,78.0,120.6543,31.1464
芜湖,69.0,118.3557,31.0858
张家界,61.0,110.5115,29.328
文登,60.0,122.0665,37.201
阳江,37.0,111.8298,22.0715
渭南,75.0,109.7864,35.0299
湘潭,67.0,112.5439,27.7075
威海,67.0,121.9482,37.1393
潍坊,100.0,119.0918,36.524
天津,90.0,117.2076,39.0913
泰州,86.0,120.0586,32.5525
台州,68.0,121.1353,28.6688
张家口,78.0,114.893303,40.830718,
太仓,75.0,121.1363,31.4628
苏州,78.0,120.6519,31.3989
寿光,109.0,118.7973,36.8621
贵阳,53.0,106.6992,26.7682
柳州,58.0,109.3799,24.9774
石家庄,101.0,114.4995,38.1006
深圳,37.0,114.5435,22.5439
绵阳,63.0,104.7327,31.8713
绍兴,72.0,120.564,29.7565
汕头,46.0,117.1692,23.3405
大同,78.0,113.7854,39.8035
上海,75.0,121.4854,31.2372
三亚,32.0,109.3716,18.3698
江门,35.0,112.6318,22.1484
曲靖,53.0,103.9417,25.7025
鄂尔多斯,73.0,108.9734,39.2487
齐齐哈尔,51.0,124.541,47.5818
平度,68.0,119.9624,36.7915
中山,33.0,113.4229,22.478
烟台,72.0,120.7397,37.5128
平顶山,130.0,112.9724,33.739
韶关,45.0,113.7964,24.7028
蓬莱,69.0,120.7653,37.8165
张家港,91.0,120.562,31.8809
鞍山,80.0,123.0798,40.6055
宁波,61.0,121.5967,29.6466
南充,68.0,106.2048,31.1517
肇庆,49.0,112.1265,23.5822
南昌,64.0,116.0046,28.6633
梅州,46.0,116.1255,24.1534
荣成,68.0,122.4939,37.1706
青岛,77.0,120.4651,36.3373
泸州,75.0,105.4578,28.493
呼和浩特,72.0,111.4124,40.4901
